T_Lag0,P_Lag0,R_Lag0,W_Lag0,A_Lag0,T_Lag1,P_Lag1,R_Lag1,W_Lag1,A_Lag1,T_Lag2,P_Lag2,R_Lag2,W_Lag2,A_Lag2,T_Lag3,P_Lag3,R_Lag3,W_Lag3,A_Lag3,B,dailyNum
-18.32705999999999,2.64114402,0.5694,3.6025589,907.60414,-11.922829999999976,6.1552698,0.6332,3.5255206,906.8989,-5.510699999999986,15.0711981,0.6181,3.2056985,907.45664,5.746800000000008,15.113601,0.4311,4.081447,904.068,6000000.0,21.2698412698413
-11.453919999999982,4.9763049,0.4961,3.9896092,905.7507,-18.32705999999999,2.64114402,0.5694,3.6025589,907.60414,-11.922829999999976,6.1552698,0.6332,3.5255206,906.8989,-5.510699999999986,15.0711981,0.6181,3.2056985,907.45664,4773045.0,18.6111111111111
-0.3942599999999743,11.6444778,0.3698,4.21142,902.3604,-11.453919999999982,4.9763049,0.4961,3.9896092,905.7507,-18.32705999999999,2.64114402,0.5694,3.6025589,907.60414,-11.922829999999976,6.1552698,0.6332,3.5255206,906.8989,4046674.0,24.047619047619
8.040160000000014,15.5782839,0.2786,4.3497477,896.9512,-0.3942599999999743,11.6444778,0.3698,4.21142,902.3604,-11.453919999999982,4.9763049,0.4961,3.9896092,905.7507,-18.32705999999999,2.64114402,0.5694,3.6025589,907.60414,3625007.0,27.4206349206349
14.41393000000005,29.961159,0.3052,4.6228867,896.2983,8.040160000000014,15.5782839,0.2786,4.3497477,896.9512,-0.3942599999999743,11.6444778,0.3698,4.21142,902.3604,-11.453919999999982,4.9763049,0.4961,3.9896092,905.7507,3416535.0,27.9761904761905
19.26016000000004,51.016524,0.4381,3.6049733,895.0219999999999,14.41393000000005,29.961159,0.3052,4.6228867,896.2983,8.040160000000014,15.5782839,0.2786,4.3497477,896.9512,-0.3942599999999743,11.6444778,0.3698,4.21142,902.3604,3354685.0,24.7222222222222
23.43682000000001,63.08758800000001,0.4945,3.498196,894.7078999999999,19.26016000000004,51.016524,0.4381,3.6049733,895.0219999999999,14.41393000000005,29.961159,0.3052,4.6228867,896.2983,8.040160000000014,15.5782839,0.2786,4.3497477,896.9512,3384191.0,20.515873015873
21.49200000000002,58.122444,0.5063,3.5550177,898.04734,23.43682000000001,63.08758800000001,0.4945,3.498196,894.7078999999999,19.26016000000004,51.016524,0.4381,3.6049733,895.0219999999999,14.41393000000005,29.961159,0.3052,4.6228867,896.2983,3457824.0,18.5714285714286
14.93685000000005,50.228028,0.5461,3.1171331,901.7597,21.49200000000002,58.122444,0.5063,3.5550177,898.04734,23.43682000000001,63.08758800000001,0.4945,3.498196,894.7078999999999,19.26016000000004,51.016524,0.4381,3.6049733,895.0219999999999,3537009.0,13.2936507936508
3.778130000000033,28.541055,0.4983,3.690241,904.9845,14.93685000000005,50.228028,0.5461,3.1171331,901.7597,21.49200000000002,58.122444,0.5063,3.5550177,898.04734,23.43682000000001,63.08758800000001,0.4945,3.498196,894.7078999999999,3595126.0,14.6428571428571
-6.850099999999998,8.7937419,0.5083,3.8678188,905.1703,3.778130000000033,28.541055,0.4983,3.690241,904.9845,14.93685000000005,50.228028,0.5461,3.1171331,901.7597,21.49200000000002,58.122444,0.5063,3.5550177,898.04734,3620457.0,14.047619047619
-11.050849999999969,3.639684,0.5828,3.4322546,906.5629,-6.850099999999998,8.7937419,0.5083,3.8678188,905.1703,3.778130000000033,28.541055,0.4983,3.690241,904.9845,14.93685000000005,50.228028,0.5461,3.1171331,901.7597,3617197.0,11.7857142857143
-14.159119999999971,2.4446601,0.5288,3.5896385,907.0556,-11.050849999999969,3.639684,0.5828,3.4322546,906.5629,-6.850099999999998,8.7937419,0.5083,3.8678188,905.1703,3.778130000000033,28.541055,0.4983,3.690241,904.9845,3602293.0,21.3127718465797
-8.885499999999979,7.001793599999999,0.4737,3.8308258,905.704,-14.159119999999971,2.4446601,0.5288,3.5896385,907.0556,-11.050849999999969,3.639684,0.5828,3.4322546,906.5629,-6.850099999999998,8.7937419,0.5083,3.8678188,905.1703,3599078.0,21.2336892052195
-1.5055299999999647,8.2037328,0.4004,3.525655,904.44836,-8.885499999999979,7.001793599999999,0.4737,3.8308258,905.704,-14.159119999999971,2.4446601,0.5288,3.5896385,907.0556,-11.050849999999969,3.639684,0.5828,3.4322546,906.5629,3629985.0,28.0347963621985
8.753500000000031,11.3427108,0.2779,4.3744593,897.7583999999999,-1.5055299999999647,8.2037328,0.4004,3.525655,904.44836,-8.885499999999979,7.001793599999999,0.4737,3.8308258,905.704,-14.159119999999971,2.4446601,0.5288,3.5896385,907.0556,3710450.0,25.7413997627521
15.83996000000002,22.936464,0.2621,4.5779185,897.29375,8.753500000000031,11.3427108,0.2779,4.3744593,897.7583999999999,-1.5055299999999647,8.2037328,0.4004,3.525655,904.44836,-8.885499999999979,7.001793599999999,0.4737,3.8308258,905.704,3844946.0,30.1304863582444
20.869560000000035,29.951772,0.358,3.395854,896.15234,15.83996000000002,22.936464,0.2621,4.5779185,897.29375,8.753500000000031,11.3427108,0.2779,4.3744593,897.7583999999999,-1.5055299999999647,8.2037328,0.4004,3.525655,904.44836,4025468.0,37.841043890866
23.872160000000008,64.240395,0.4613,3.494235,894.74234,20.869560000000035,29.951772,0.358,3.395854,896.15234,15.83996000000002,22.936464,0.2621,4.5779185,897.29375,8.753500000000031,11.3427108,0.2779,4.3744593,897.7583999999999,4232383.0,33.7682878608146
